,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
12087,12088,1.05,Premium,H,SI1,59.3,58.0,5161,6.65,6.61,3.93
12090,12091,1.06,Very Good,G,SI1,63.4,58.0,5163,6.44,6.47,4.09
12091,12092,1.17,Very Good,E,SI2,62.5,59.0,5163,6.65,6.7,4.17
12095,12096,1.09,Premium,D,SI2,61.2,60.0,5164,6.6,6.64,4.05
12096,12097,1.08,Ideal,F,SI2,61.3,55.0,5164,6.59,6.62,4.05
12099,12100,1.16,Premium,F,SI2,62.4,59.0,5164,6.72,6.64,4.17
12100,12101,1.01,Very Good,I,VS1,61.7,59.0,5165,6.45,6.51,4.0
12102,12103,1.13,Ideal,I,VS2,62.2,55.0,5165,6.69,6.67,4.15
12104,12105,1.1,Premium,D,SI1,60.4,59.0,5166,6.66,6.69,4.03
12110,12111,1.01,Premium,H,VS2,61.3,59.0,5166,6.41,6.45,3.94
12121,12122,1.35,Premium,G,SI2,60.5,60.0,5167,7.16,7.11,4.32
12125,12126,1.02,Premium,G,SI1,61.7,58.0,5169,6.47,6.37,3.96
12126,12127,1.3,Ideal,G,SI2,61.9,57.0,5169,7.01,6.95,4.32
12132,12133,1.08,Premium,H,SI1,62.6,58.0,5171,6.56,6.53,4.1
12135,12136,1.01,Very Good,H,SI1,63.0,57.0,5172,6.34,6.36,4.0
12137,12138,1.26,Premium,J,VS2,62.0,60.0,5173,7.0,6.86,4.3
12139,12140,1.0,Very Good,E,SI1,63.5,61.0,5174,6.33,6.24,3.99
12140,12141,1.2,Premium,H,SI2,62.4,61.0,5174,6.81,6.78,4.24
12144,12145,1.2,Ideal,I,SI1,62.2,56.0,5174,6.75,6.73,4.19
12146,12147,1.0,Good,E,SI1,63.7,60.0,5174,6.29,6.24,3.99
12151,12152,1.1,Ideal,E,SI2,61.6,56.0,5174,6.64,6.61,4.08
12163,12164,1.13,Very Good,H,SI2,62.0,58.0,5179,6.67,6.71,4.15
12168,12169,1.18,Premium,E,SI2,62.5,60.0,5181,6.74,6.7,4.2
12170,12171,1.69,Very Good,J,I1,60.2,61.0,5182,7.7,7.79,4.66
12180,12181,1.06,Premium,G,SI1,62.7,56.0,5183,6.55,6.46,4.08
12186,12187,1.01,Fair,E,SI1,56.8,61.0,5185,6.59,6.62,3.75
12189,12190,1.09,Premium,D,SI2,60.3,60.0,5186,6.68,6.61,4.01
12196,12197,1.08,Ideal,E,SI1,62.6,57.0,5189,6.56,6.53,4.1
12200,12201,1.18,Premium,G,SI2,61.4,58.0,5190,6.82,6.77,4.17
12202,12203,1.23,Very Good,I,SI2,62.6,59.0,5191,6.78,6.86,4.27
12206,12207,1.11,Very Good,H,SI1,63.2,58.0,5192,6.53,6.61,4.15
12215,12216,0.9,Very Good,D,VS1,58.9,59.0,5195,6.22,6.31,3.69
12217,12218,1.1,Very Good,I,VS1,60.8,58.3,5196,6.63,6.68,4.04
12218,12219,1.0,Premium,F,SI1,62.3,59.0,5197,6.37,6.43,3.99
12223,12224,1.0,Premium,F,SI1,60.7,60.0,5197,6.36,6.4,3.87
12224,12225,1.0,Premium,F,SI1,61.6,60.0,5197,6.31,6.41,3.9
12226,12227,1.25,Good,I,SI2,63.3,55.8,5197,6.83,6.87,4.34
12227,12228,1.0,Premium,F,SI1,62.7,59.0,5197,6.36,6.4,4.0
12230,12231,1.05,Very Good,G,SI1,61.6,57.0,5197,6.51,6.54,4.02
12231,12232,1.01,Good,H,SI1,59.5,62.0,5197,6.49,6.55,3.88
12232,12233,1.02,Good,D,SI1,57.2,54.0,5198,6.66,6.62,3.8
12234,12235,1.02,Premium,D,SI2,59.7,60.0,5198,6.58,6.55,3.92
12235,12236,1.02,Very Good,D,SI1,63.2,58.0,5198,6.41,6.35,4.03
12249,12250,1.05,Ideal,G,SI1,59.7,56.0,5204,6.67,6.64,3.97
12252,12253,1.05,Ideal,D,SI2,61.9,56.0,5204,6.53,6.5,4.03
12255,12256,1.16,Ideal,G,SI2,61.5,54.0,5206,6.75,6.78,4.16
12257,12258,1.03,Ideal,I,VS1,60.9,56.0,5206,6.52,6.59,3.99
12259,12260,1.26,Premium,I,SI2,60.1,59.0,5207,7.03,6.99,4.21
12261,12262,1.16,Ideal,I,VS2,61.5,57.0,5207,6.75,6.78,4.16
12268,12269,1.24,Premium,I,SI1,62.9,60.0,5208,6.8,6.74,4.26
12275,12276,1.26,Good,J,VS2,63.2,57.3,5211,6.81,6.86,4.32
12279,12280,1.2,Good,I,SI1,63.9,56.0,5211,6.62,6.69,4.25
12281,12282,0.91,Ideal,F,VS2,62.8,57.0,5214,6.18,6.2,3.89
12287,12288,1.23,Very Good,J,VS2,62.9,58.0,5217,6.75,6.83,4.27
12294,12295,0.9,Very Good,F,VS2,61.8,57.0,5218,6.16,6.23,3.83
12295,12296,1.1,Very Good,F,VS2,63.5,55.0,5218,6.58,6.52,4.16
12298,12299,1.21,Premium,I,SI1,62.8,57.0,5218,6.74,6.67,4.21
12299,12300,1.09,Premium,H,SI1,61.6,57.0,5219,6.63,6.59,4.07
12304,12305,1.09,Ideal,H,SI1,61.1,57.0,5219,6.71,6.62,4.07
12309,12310,1.07,Ideal,H,SI1,62.1,57.0,5220,6.5,6.55,4.05
12310,12311,1.04,Ideal,F,SI1,61.4,59.0,5220,6.46,6.5,3.98
12318,12319,1.28,Very Good,F,SI2,62.5,55.0,5223,6.91,7.0,4.35
12330,12331,1.2,Very Good,I,SI1,61.2,62.0,5226,6.75,6.84,4.16
12334,12335,1.01,Premium,E,SI1,59.0,59.0,5226,6.6,6.56,3.88
12335,12336,1.22,Premium,I,SI2,62.5,58.0,5226,6.8,6.76,4.24
12338,12339,1.22,Ideal,I,SI2,61.3,57.0,5226,6.91,6.85,4.22
12339,12340,1.02,Premium,G,SI1,58.9,59.0,5226,6.59,6.55,3.87
12343,12344,1.01,Very Good,F,VS2,63.1,57.0,5226,6.39,6.29,4.0
12345,12346,1.01,Very Good,E,SI1,63.1,58.0,5226,6.4,6.31,4.01
12351,12352,1.01,Very Good,E,SI1,62.4,58.0,5229,6.36,6.4,3.99
12352,12353,1.04,Ideal,I,VS1,61.8,56.0,5229,6.49,6.51,4.02
12353,12354,1.01,Good,H,VS2,60.8,61.0,5229,6.43,6.5,3.93
12354,12355,1.24,Very Good,H,SI2,61.0,59.0,5231,6.93,7.0,4.25
12355,12356,1.04,Very Good,E,SI1,60.8,60.0,5231,6.49,6.56,3.97
12360,12361,0.26,Very Good,E,VVS2,63.0,58.0,597,4.0,4.03,2.53
12366,12367,0.26,Very Good,F,VVS1,62.0,59.0,597,4.08,4.15,2.55
12367,12368,0.26,Very Good,E,VVS1,61.4,58.0,597,4.12,4.15,2.54
12374,12375,0.4,Ideal,F,SI2,62.1,53.0,597,4.76,4.78,2.96
12377,12378,0.26,Good,E,IF,59.6,61.0,597,4.13,4.16,2.47
12382,12383,0.35,Ideal,I,VVS2,61.5,55.0,598,4.56,4.58,2.81
12389,12390,0.28,Ideal,F,VS1,62.0,57.0,598,4.19,4.23,2.61
12398,12399,1.22,Ideal,I,SI1,62.3,57.0,5233,6.77,6.87,4.25
12399,12400,1.12,Premium,G,SI1,60.1,58.0,5233,6.78,6.83,4.09
12410,12411,1.05,Very Good,H,VS2,63.3,58.0,5236,6.42,6.48,4.08
12413,12414,1.12,Very Good,H,SI1,62.3,55.0,5236,6.64,6.69,4.15
12419,12420,1.01,Ideal,H,VS2,61.0,59.0,5238,6.51,6.47,3.96
12421,12422,1.0,Very Good,E,SI1,61.7,57.0,5239,6.34,6.47,3.95
12422,12423,1.0,Ideal,F,SI1,62.0,55.0,5239,6.39,6.44,3.98
12425,12426,1.02,Premium,H,VS2,61.8,58.0,5241,6.49,6.43,3.99
12427,12428,1.03,Very Good,F,SI1,58.0,60.0,5241,6.68,6.74,3.89
12428,12429,1.03,Ideal,G,SI1,61.1,57.0,5241,6.58,6.54,4.01
12429,12430,1.03,Ideal,G,SI1,61.7,56.0,5241,6.5,6.47,4.0
12433,12434,0.9,Very Good,F,VS1,60.7,57.0,5242,6.16,6.23,3.76
12441,12442,0.9,Ideal,E,VS1,61.3,57.0,5242,6.24,6.2,3.81
12444,12445,1.0,Premium,G,VS1,61.9,60.0,5242,6.39,6.31,3.93
12450,12451,1.02,Very Good,E,SI1,63.5,55.0,5245,6.3,6.37,4.02
12454,12455,1.2,Very Good,F,SI2,62.2,62.0,5247,6.7,6.77,4.19
12459,12460,1.12,Very Good,I,VS2,62.9,55.9,5249,6.59,6.62,4.16
12464,12465,1.27,Ideal,I,SI2,62.1,56.0,5249,6.96,6.92,4.31
12472,12473,1.08,Premium,H,VS2,62.4,58.0,5250,6.56,6.49,4.07
12473,12474,0.77,Ideal,E,VVS1,61.6,55.0,5251,5.87,5.95,3.64
12482,12483,1.06,Ideal,G,SI1,62.0,56.0,5253,6.55,6.52,4.05
12491,12492,1.08,Ideal,G,SI1,61.8,56.0,5256,6.55,6.58,4.06
12493,12494,1.08,Very Good,F,SI1,58.2,63.0,5256,6.69,6.78,3.92
12496,12497,1.0,Very Good,E,SI1,59.6,60.0,5257,6.58,6.51,3.9
12500,12501,1.02,Premium,D,SI2,60.2,58.0,5257,6.56,6.53,3.94
12504,12505,0.91,Premium,G,VVS2,61.8,58.0,5259,6.16,6.24,3.83
12509,12510,1.25,Ideal,G,SI2,61.6,57.0,5259,6.91,6.98,4.28
12513,12514,1.16,Ideal,H,SI2,62.2,55.7,5260,6.68,6.74,4.18
12518,12519,1.01,Premium,H,VS2,60.6,60.0,5260,6.51,6.49,3.94
12520,12521,0.91,Ideal,F,VS2,62.6,55.0,5261,6.2,6.23,3.89
12524,12525,1.1,Ideal,E,SI2,61.6,56.0,5263,6.63,6.66,4.09
12525,12526,1.07,Very Good,H,VS2,62.7,57.0,5264,6.48,6.53,4.08
12527,12528,1.25,Premium,J,VS2,62.0,59.0,5264,6.9,6.87,4.27
12531,12532,1.03,Very Good,H,VS2,62.0,58.0,5266,6.45,6.51,4.02
12532,12533,1.12,Premium,H,SI1,62.2,60.0,5266,6.59,6.65,4.12
12533,12534,1.12,Premium,H,SI1,61.6,59.0,5266,6.63,6.67,4.1
12542,12543,1.3,Good,J,VS2,63.6,59.0,5269,6.9,6.87,4.38
12545,12546,1.23,Premium,I,SI2,62.5,60.0,5269,6.82,6.75,4.24
12548,12549,0.95,Good,E,VS2,57.7,58.0,5272,6.47,6.52,3.75
12550,12551,1.34,Ideal,J,SI2,62.5,57.0,5273,7.0,7.08,4.4
12556,12557,1.21,Premium,I,SI1,61.8,59.0,5276,6.85,6.81,4.22
12558,12559,1.12,Ideal,F,SI2,61.8,56.0,5277,6.65,6.68,4.12
12560,12561,1.69,Premium,J,I1,60.2,61.0,5277,7.79,7.7,4.66
12563,12564,1.02,Ideal,E,SI1,60.4,55.0,5278,6.54,6.48,3.93
12566,12567,1.02,Premium,E,SI1,61.5,58.0,5278,6.51,6.46,3.99
12568,12569,1.2,Premium,G,SI2,59.2,60.0,5278,6.92,6.9,4.09
12569,12570,1.02,Premium,E,SI1,62.6,58.0,5278,6.47,6.44,4.05
12572,12573,0.9,Very Good,F,VS1,62.5,58.0,5279,6.12,6.17,3.84
12573,12574,1.2,Good,I,SI1,63.5,60.7,5280,6.71,6.75,4.27
12575,12576,1.13,Very Good,G,SI1,60.9,60.0,5280,6.67,6.76,4.09
12580,12581,1.2,Very Good,I,SI1,62.6,58.2,5280,6.71,6.74,4.21
12586,12587,1.23,Premium,D,SI2,58.9,58.0,5283,6.99,6.97,4.11
12594,12595,1.21,Premium,I,SI1,62.0,56.0,5285,6.89,6.83,4.25
12596,12597,1.08,Very Good,H,SI1,63.4,57.0,5286,6.54,6.51,4.14
12626,12627,1.25,Ideal,I,SI2,63.3,56.0,5292,6.87,6.83,4.34
12628,12629,1.0,Premium,F,SI1,62.6,60.0,5292,6.32,6.3,3.95
12634,12635,1.0,Premium,F,SI1,60.7,60.0,5292,6.4,6.36,3.87
12636,12637,1.0,Premium,F,SI1,61.2,58.0,5292,6.44,6.4,3.93
12637,12638,1.0,Ideal,F,SI1,61.9,56.0,5292,6.41,6.36,3.95
12643,12644,1.01,Very Good,G,VS2,63.1,55.0,5294,6.38,6.36,4.02
12645,12646,1.01,Fair,G,VS2,68.9,60.0,5294,6.06,6.02,4.17
12651,12652,1.22,Ideal,J,VS2,62.1,58.0,5297,6.82,6.84,4.24
12652,12653,1.0,Ideal,E,SI1,62.3,55.0,5299,6.34,6.41,3.97
12656,12657,1.25,Premium,J,VS2,62.2,59.0,5299,6.86,6.88,4.27
12659,12660,1.02,Good,F,SI1,63.2,59.0,5301,6.35,6.38,4.02
12664,12665,1.07,Ideal,I,VS1,62.0,57.0,5302,6.56,6.5,4.05
12672,12673,1.01,Very Good,H,VS1,64.0,54.0,5305,6.3,6.38,4.06
12674,12675,1.09,Very Good,G,SI1,60.2,60.0,5305,6.66,6.7,4.02
12676,12677,1.24,Premium,H,VS2,62.8,57.0,5305,6.83,6.79,4.28
12684,12685,1.01,Good,F,SI1,63.9,59.0,5309,6.29,6.32,4.03
12690,12691,0.28,Ideal,E,VS1,62.0,57.0,598,4.17,4.2,2.59
12691,12692,0.26,Very Good,E,VVS2,61.7,60.0,599,4.11,4.12,2.54
12697,12698,0.38,Ideal,D,SI2,62.0,53.0,599,4.68,4.71,2.91
12712,12713,0.26,Ideal,E,VVS2,61.5,56.0,599,4.08,4.11,2.52
12722,12723,1.02,Premium,H,VS2,61.2,58.0,5312,6.5,6.47,3.97
12725,12726,0.9,Premium,E,VS2,59.5,58.0,5312,6.33,6.28,3.75
12730,12731,1.07,Ideal,F,SI2,61.4,56.0,5313,6.57,6.63,4.05
12731,12732,1.16,Good,H,SI1,64.2,58.6,5314,6.61,6.66,4.26
12735,12736,1.11,Premium,H,SI1,61.5,59.0,5315,6.69,6.64,4.1
12737,12738,1.11,Ideal,H,SI1,60.2,54.0,5315,6.82,6.7,4.07
12741,12742,1.01,Ideal,H,VS2,60.6,57.0,5317,6.54,6.49,3.95
12746,12747,1.28,Good,I,VS2,58.2,64.0,5319,7.09,7.03,4.11
12748,12749,1.25,Premium,H,SI1,59.4,62.0,5320,7.07,7.0,4.18
12752,12753,1.2,Very Good,G,SI2,62.9,54.0,5321,6.76,6.79,4.26
12758,12759,1.0,Premium,G,VS2,60.8,60.0,5322,6.39,6.33,3.87
12760,12761,1.21,Premium,H,SI2,62.7,59.0,5324,6.75,6.78,4.24
12763,12764,1.21,Ideal,J,VS1,62.3,55.0,5324,6.81,6.86,4.26
12765,12766,1.07,Ideal,E,SI2,62.2,55.0,5325,6.54,6.58,4.08
12767,12768,1.14,Premium,G,SI1,62.2,58.0,5326,6.64,6.7,4.15
12776,12777,1.22,Ideal,I,SI1,62.1,56.0,5329,6.83,6.79,4.23
12778,12779,1.27,Very Good,F,SI2,61.0,61.0,5330,6.95,7.01,4.26
12782,12783,1.03,Ideal,E,SI1,62.2,57.0,5330,6.48,6.42,4.01
12785,12786,1.01,Good,H,VS2,64.4,58.0,5331,6.18,6.24,4.0
12788,12789,1.19,Ideal,I,SI1,63.7,57.0,5331,6.73,6.69,4.28
12789,12790,1.12,Ideal,H,SI2,63.6,56.0,5331,6.68,6.54,4.19
12792,12793,1.27,Fair,H,SI2,65.2,54.0,5334,6.78,6.71,4.41
12795,12796,0.9,Ideal,E,VS1,61.3,57.0,5335,6.2,6.24,3.81
12797,12798,1.34,Very Good,J,SI2,62.7,56.0,5335,7.05,7.08,4.43
12798,12799,1.09,Premium,H,SI1,59.8,60.0,5335,6.72,6.66,4.0
12801,12802,0.7,Ideal,E,VVS1,61.8,55.0,5338,5.69,5.73,3.53
12803,12804,1.01,Very Good,E,SI1,62.3,56.0,5339,6.36,6.42,3.98
12806,12807,1.01,Very Good,E,SI2,60.2,60.0,5340,6.46,6.5,3.9
12814,12815,1.0,Good,E,SI1,57.2,62.0,5345,6.59,6.56,3.76
12818,12819,1.01,Premium,F,SI1,60.6,59.0,5345,6.52,6.49,3.94
12821,12822,1.21,Very Good,I,SI1,62.8,57.0,5346,6.73,6.8,4.25
12822,12823,1.02,Premium,G,VS2,61.5,59.0,5346,6.45,6.4,3.95
12834,12835,1.2,Very Good,H,SI2,62.0,58.0,5352,6.73,6.79,4.19
12839,12840,1.04,Very Good,G,VS2,61.4,63.0,5353,6.51,6.55,4.01
12842,12843,1.06,Ideal,F,SI2,61.8,56.0,5354,6.56,6.51,4.04
12844,12845,1.25,Ideal,G,SI2,61.6,57.0,5355,6.98,6.91,4.28
12857,12858,1.12,Very Good,G,SI1,61.1,59.0,5361,6.69,6.73,4.1
12870,12871,1.09,Ideal,D,SI2,62.4,57.0,5364,6.55,6.6,4.1
12880,12881,1.14,Very Good,H,SI1,62.9,59.0,5367,6.62,6.64,4.17
12882,12883,1.02,Ideal,G,SI1,60.6,57.0,5367,6.49,6.52,3.94
12883,12884,1.22,Premium,I,SI1,62.1,59.0,5368,6.8,6.86,4.24
12884,12885,1.22,Premium,I,SI1,61.2,59.0,5368,6.86,6.9,4.21
12891,12892,1.27,Very Good,I,SI2,59.7,57.0,5371,6.99,7.04,4.19
12897,12898,1.07,Ideal,I,VS1,62.0,53.0,5373,6.61,6.62,4.1
12899,12900,0.9,Ideal,E,SI1,61.9,54.0,5373,6.19,6.22,3.84
12900,12901,1.06,Ideal,H,VS2,61.2,55.0,5373,6.61,6.57,4.03
12906,12907,0.93,Ideal,H,VS1,61.8,55.0,5375,6.28,6.26,3.88
12919,12920,1.2,Premium,H,SI2,62.3,58.0,5376,6.81,6.76,4.23
12920,12921,1.2,Premium,H,SI2,62.0,58.0,5376,6.91,6.76,4.24
12923,12924,1.13,Ideal,I,SI2,62.0,55.0,5378,6.68,6.7,4.15
12926,12927,1.03,Ideal,F,SI1,61.3,57.0,5378,6.58,6.51,4.01
12930,12931,1.31,Very Good,J,SI1,62.5,55.0,5382,6.97,7.05,4.38
12933,12934,1.01,Very Good,F,SI1,61.9,58.0,5383,6.41,6.44,3.98
12940,12941,1.0,Very Good,G,VS2,60.0,55.0,5385,6.41,6.52,3.88
12946,12947,0.9,Ideal,F,VS1,61.6,56.0,5386,6.2,6.23,3.83
12947,12948,1.11,Ideal,H,SI1,62.7,56.0,5386,6.65,6.59,4.15
12957,12958,1.0,Premium,H,VS1,60.7,59.0,5387,6.44,6.4,3.9
12958,12959,1.21,Ideal,I,VS2,62.3,58.0,5387,6.79,6.75,4.22
12961,12962,1.0,Very Good,D,SI1,62.1,58.0,5390,6.34,6.45,3.97
12964,12965,1.0,Premium,D,SI1,61.5,60.0,5390,6.34,6.38,3.91
12965,12966,1.19,Very Good,J,SI1,60.0,57.0,5390,6.93,6.89,4.15
12968,12969,1.12,Ideal,I,VS2,61.2,54.0,5392,6.74,6.77,4.13
12970,12971,1.06,Ideal,G,SI1,60.5,57.0,5393,6.64,6.59,4.0
12972,12973,1.01,Very Good,H,VS2,61.6,57.0,5393,6.41,6.44,3.96
12977,12978,0.91,Good,G,SI1,57.7,58.0,5394,6.33,6.4,3.67
12984,12985,1.25,Premium,J,VS2,62.2,59.0,5396,6.88,6.86,4.27
12985,12986,1.0,Premium,E,SI1,60.5,59.0,5396,6.45,6.4,3.89
12993,12994,1.02,Premium,F,SI1,62.3,58.0,5398,6.46,6.38,4.0
13000,13001,1.0,Premium,H,VS2,62.4,59.0,5404,6.75,6.72,4.2
13001,13002,1.22,Premium,I,VS2,60.1,58.0,5405,6.92,7.0,4.18
13003,13004,1.07,Ideal,F,SI2,61.6,57.0,5405,6.56,6.53,4.03
13007,13008,1.05,Very Good,H,SI1,60.5,58.0,5406,6.55,6.6,3.98
13009,13010,1.02,Premium,G,VS2,62.7,58.0,5407,6.44,6.36,4.01
13014,13015,1.2,Very Good,H,SI2,60.2,58.0,5408,6.88,6.94,4.16
13016,13017,1.2,Very Good,I,SI1,62.2,55.0,5408,6.75,6.92,4.25
13017,13018,1.2,Very Good,I,SI1,60.0,60.0,5408,6.81,6.89,4.11
13019,13020,1.11,Ideal,G,SI1,61.9,57.0,5408,6.63,6.66,4.11
13020,13021,0.3,Very Good,E,VS2,61.6,54.0,600,4.29,4.32,2.65
13021,13022,0.29,Ideal,G,VVS2,61.3,56.0,600,4.23,4.25,2.6
13029,13030,0.23,Very Good,F,VVS2,58.1,63.0,600,4.08,4.04,2.36
13033,13034,0.38,Premium,J,VS1,62.1,60.0,600,4.6,4.64,2.87
13043,13044,0.36,Ideal,F,SI1,60.1,56.0,600,4.62,4.67,2.79
13046,13047,0.26,Very Good,E,VS2,62.8,58.0,601,4.0,4.06,2.53
13048,13049,0.3,Ideal,F,VS2,62.1,53.3,601,4.3,4.32,2.68
13054,13055,1.03,Premium,D,SI1,60.5,61.0,5410,6.47,6.43,3.9
13055,13056,1.13,Premium,H,SI1,62.1,58.0,5410,6.7,6.66,4.15
13056,13057,1.0,Premium,F,SI1,60.6,62.0,5410,6.43,6.4,3.89
13057,13058,1.01,Very Good,E,SI1,59.6,61.0,5411,6.47,6.51,3.87
13058,13059,1.01,Very Good,E,SI1,62.8,57.0,5411,6.35,6.39,4.0
13060,13061,0.93,Ideal,E,VS2,62.4,56.0,5411,6.26,6.3,3.92
13061,13062,1.03,Ideal,E,SI1,62.0,55.0,5411,6.46,6.5,4.02
13064,13065,1.16,Ideal,H,SI1,64.2,59.0,5411,6.66,6.61,4.26
13065,13066,1.23,Good,H,SI2,63.8,57.4,5412,6.72,6.78,4.31
13071,13072,1.13,Ideal,D,SI2,60.1,55.0,5412,6.79,6.85,4.1
13073,13074,1.17,Ideal,D,SI2,62.5,56.0,5412,6.77,6.7,4.21
13076,13077,1.0,Very Good,E,SI1,63.7,55.0,5413,6.35,6.4,4.06
13078,13079,1.01,Good,H,VS1,63.8,59.0,5416,6.3,6.34,4.03
13082,13083,1.5,Good,H,SI2,63.8,57.0,5416,7.21,7.14,4.58
13084,13085,1.04,Ideal,H,VS2,59.3,57.0,5416,6.64,6.58,3.92
13089,13090,1.28,Ideal,I,SI2,61.7,59.0,5419,6.96,6.92,4.28
13098,13099,1.21,Premium,I,SI1,62.1,56.0,5421,6.92,6.76,4.25
13101,13102,1.17,Ideal,H,SI2,62.4,53.0,5423,6.74,6.76,4.21
13102,13103,1.02,Very Good,E,SI1,60.6,59.0,5424,6.47,6.49,3.93
13105,13106,1.14,Premium,G,SI1,62.7,58.0,5424,6.68,6.63,4.17
13108,13109,1.02,Ideal,H,VS2,62.0,57.0,5426,6.43,6.4,3.98
13110,13111,1.24,Very Good,J,VS1,59.1,62.0,5427,7.06,7.04,4.17
13114,13115,1.02,Premium,E,SI1,62.8,58.0,5429,6.45,6.39,4.03
13116,13117,1.21,Premium,G,SI2,60.3,58.0,5430,6.9,6.96,4.18
13125,13126,1.22,Good,I,VS2,57.2,60.0,5431,7.07,7.01,4.03
13133,13134,1.11,Premium,H,SI1,62.5,58.0,5433,6.64,6.61,4.14
13137,13138,1.07,Ideal,F,SI1,59.4,57.0,5436,6.73,6.67,3.98
13142,13143,1.01,Ideal,E,SI2,61.5,55.0,5437,6.44,6.51,3.98
13150,13151,1.08,Ideal,G,SI1,61.7,56.0,5439,6.6,6.63,4.08
13152,13153,1.11,Premium,H,SI1,58.8,59.0,5439,6.79,6.74,3.98
13155,13156,1.01,Premium,D,SI1,62.6,58.0,5443,6.33,6.44,4.0
13162,13163,1.2,Very Good,H,SI1,63.5,58.0,5443,6.69,6.73,4.26
13163,13164,1.24,Ideal,J,VS2,62.3,56.0,5443,6.84,6.91,4.28
13166,13167,1.07,Ideal,G,SI1,61.9,55.0,5444,6.62,6.57,4.08
13182,13183,1.2,Very Good,D,SI2,62.6,57.0,5451,6.74,6.84,4.25
13185,13186,1.04,Very Good,G,VS2,61.4,63.0,5451,6.55,6.51,4.01
13187,13188,1.21,Very Good,J,VS1,62.6,57.0,5452,6.71,6.8,4.23
13198,13199,1.27,Ideal,J,SI1,61.4,57.0,5455,6.97,7.0,4.29
13200,13201,1.08,Ideal,I,VS2,61.8,54.0,5455,6.6,6.57,4.07
13204,13205,1.12,Ideal,D,SI2,62.6,57.0,5456,6.61,6.65,4.15
13206,13207,1.11,Ideal,H,SI1,61.6,56.0,5456,6.69,6.65,4.11
13209,13210,1.12,Ideal,H,SI1,60.7,56.0,5457,6.74,6.7,4.08
13211,13212,1.01,Ideal,H,SI1,62.7,56.0,5457,6.37,6.42,4.01
13214,13215,1.0,Ideal,E,SI1,61.9,56.0,5458,6.37,6.45,3.97
13215,13216,0.91,Ideal,E,SI1,61.9,55.0,5458,6.21,6.23,3.85
13222,13223,1.5,Fair,D,I1,64.7,62.0,5460,7.19,7.04,4.6
13228,13229,1.21,Premium,H,VS2,60.8,62.0,5461,6.82,6.78,4.13
13231,13232,1.19,Premium,I,SI1,61.3,59.0,5464,6.84,6.79,4.18
13238,13239,1.05,Premium,H,VS2,59.0,59.0,5468,6.71,6.68,3.95
13246,13247,1.2,Premium,I,VS2,62.1,59.0,5474,6.77,6.72,4.19
13248,13249,0.9,Very Good,D,VS2,62.3,56.0,5476,6.14,6.18,3.84
13253,13254,1.18,Premium,I,VS1,62.6,59.0,5477,6.73,6.71,4.21
13262,13263,1.0,Good,G,SI1,62.2,63.0,5483,6.36,6.41,3.97
13266,13267,1.02,Premium,F,SI1,62.9,55.0,5484,6.47,6.41,4.05
13268,13269,1.0,Good,G,VS2,63.7,57.0,5484,6.32,6.28,4.01
13270,13271,1.0,Fair,G,VS2,67.6,57.0,5484,6.2,6.13,4.17
13271,13272,1.0,Fair,G,VS2,63.7,55.0,5484,6.28,6.21,3.98
13277,13278,1.01,Ideal,F,SI1,62.0,56.0,5486,6.44,6.39,3.98
13278,13279,1.01,Good,F,VS2,57.3,62.0,5487,6.63,6.59,3.79
13282,13283,1.08,Premium,F,SI1,61.0,59.0,5487,6.67,6.57,4.04
13286,13287,1.0,Premium,D,SI1,62.1,58.0,5488,6.45,6.34,3.97
13289,13290,1.0,Ideal,D,SI1,61.7,57.0,5489,6.39,6.42,3.95
13299,13300,1.05,Good,H,VS2,63.7,58.0,5492,6.4,6.45,4.09
13305,13306,1.09,Ideal,G,SI1,62.4,56.0,5496,6.57,6.61,4.11
13310,13311,1.01,Very Good,G,SI1,62.9,58.0,5497,6.35,6.4,4.01
13311,13312,1.01,Ideal,G,SI1,61.1,58.0,5497,6.43,6.49,3.95
13314,13315,1.07,Ideal,H,SI1,62.1,56.0,5498,6.53,6.58,4.07
13315,13316,1.07,Premium,H,VS2,62.4,59.0,5498,6.53,6.46,4.05
13319,13320,1.01,Very Good,E,SI1,62.9,58.0,5499,6.35,6.41,4.01
13321,13322,1.0,Premium,E,SI1,61.6,59.0,5500,6.38,6.41,3.94
13322,13323,1.0,Good,G,VS2,63.3,60.0,5500,6.29,6.37,4.01
13326,13327,1.01,Good,D,SI1,57.6,60.0,5501,6.59,6.64,3.81
13327,13328,1.01,Fair,F,VS2,65.5,62.0,5501,6.19,6.23,4.07
13330,13331,1.21,Premium,I,VS2,62.2,59.0,5502,6.79,6.85,4.24
13332,13333,1.22,Ideal,H,SI2,61.7,56.0,5502,6.87,6.93,4.26
13338,13339,1.19,Premium,D,SI2,58.8,58.0,5504,7.04,6.9,4.1
13341,13342,1.46,Fair,G,SI2,64.6,54.0,5504,7.11,7.03,4.57
13343,13344,1.0,Good,F,VS2,63.4,56.0,5505,6.27,6.35,4.0
13345,13346,1.02,Ideal,H,SI1,59.8,58.0,5505,6.56,6.58,3.93
13361,13362,0.24,Very Good,F,VS2,62.9,58.0,419,3.94,4.01,2.5
13362,13363,0.24,Very Good,F,VS2,59.6,58.0,419,4.08,4.11,2.44
13367,13368,0.24,Very Good,F,VS1,63.0,59.0,419,3.93,3.97,2.49
